codigo,familia,nivel1,nivel2,nivel3,tipo_permitido,nombre_glpi_completo,descripcion
DAT-04.3,DAT,DAT - Transmisión e integridad de datos,DAT-04 Registro duplicado,DAT-04.3 Consola duplicada,I,DAT - Transmisión e integridad de datos > DAT-04 Registro duplicado > DAT-04.3 Consola duplicada,Registro duplicado: consola duplicada.
DAT-04.4,DAT,DAT - Transmisión e integridad de datos,DAT-04 Registro duplicado,DAT-04.4 DAC duplicado,I,DAT - Transmisión e integridad de datos > DAT-04 Registro duplicado > DAT-04.4 DAC duplicado,Registro duplicado: dac duplicado.
REC-01,REC,REC - Recaudo y conciliación,REC-01 Discrepancia de recaudo,,I,REC - Recaudo y conciliación > REC-01 Discrepancia de recaudo,"Diferencia en valores de recaudo entre fuentes (sistema, conciliado, efectivo)."
REC-02,REC,REC - Recaudo y conciliación,REC-02 Discrepancia de conteo vehicular,,I,REC - Recaudo y conciliación > REC-02 Discrepancia de conteo vehicular,"Diferencia en cantidad de vehículos (total, por hora o por sentido) entre fuentes."
REC-03.1,REC,REC - Recaudo y conciliación,REC-03 Discrepancia de categoría / ejes,REC-03.1 Sobrecategorización,I,REC - Recaudo y conciliación > REC-03 Discrepancia de categoría / ejes > REC-03.1 Sobrecategorización,El vehículo quedó registrado en una categoría o número de ejes MAYOR al real.
REC-03.2,REC,REC - Recaudo y conciliación,REC-03 Discrepancia de categoría / ejes,REC-03.2 Subcategorización,I,REC - Recaudo y conciliación > REC-03 Discrepancia de categoría / ejes > REC-03.2 Subcategorización,El vehículo quedó registrado en una categoría o número de ejes MENOR al real.
REC-04,REC,REC - Recaudo y conciliación,REC-04 Evidencia (foto / video) no disponible o defectuosa,,I,REC - Recaudo y conciliación > REC-04 Evidencia (foto / video) no disponible o defectuosa,Faltan fotos/videos de transacciones o están defectuosos (foto negra).
REC-05,REC,REC - Recaudo y conciliación,REC-05 Inconsistencia consola / DAC,,I,REC - Recaudo y conciliación > REC-05 Inconsistencia consola / DAC,Los registros de consola y DAC no se corresponden (separados o inconsistentes).
REC-06,REC,REC - Recaudo y conciliación,REC-06 No permite conciliar,,I,REC - Recaudo y conciliación > REC-06 No permite conciliar,El proceso de conciliación en Webvial no se puede ejecutar.
REC-07.1,REC,REC - Recaudo y conciliación,REC-07 Gestión de conciliación,REC-07.1 Conciliación masiva,S,REC - Recaudo y conciliación > REC-07 Gestión de conciliación > REC-07.1 Conciliación masiva,Solicitud de conciliación masiva.
REC-07.2,REC,REC - Recaudo y conciliación,REC-07 Gestión de conciliación,REC-07.2 Deshacer conciliación,S,REC - Recaudo y conciliación > REC-07 Gestión de conciliación > REC-07.2 Deshacer conciliación,Solicitud de reversar una conciliación ya realizada (requiere autorización y evidencia).
REC-07.3,REC,REC - Recaudo y conciliación,REC-07 Gestión de conciliación,REC-07.3 Regla de conciliación,S,REC - Recaudo y conciliación > REC-07 Gestión de conciliación > REC-07.3 Regla de conciliación,Solicitud de crear o ajustar una regla de conciliación.
REC-08.1,REC,REC - Recaudo y conciliación,REC-08 Arqueo,REC-08.1 Sobrante,I,REC - Recaudo y conciliación > REC-08 Arqueo > REC-08.1 Sobrante,El arqueo muestra dinero de más respecto al sistema.
REC-08.2,REC,REC - Recaudo y conciliación,REC-08 Arqueo,REC-08.2 Faltante,I,REC - Recaudo y conciliación > REC-08 Arqueo > REC-08.2 Faltante,El arqueo muestra dinero de menos respecto al sistema.
REC-08.3,REC,REC - Recaudo y conciliación,REC-08 Arqueo,REC-08.3 Error o inconsistencia de arqueo,I,REC - Recaudo y conciliación > REC-08 Arqueo > REC-08.3 Error o inconsistencia de arqueo,El proceso de arqueo falla o arroja datos inconsistentes (no es sobrante/faltante real).
REC-09.1,REC,REC - Recaudo y conciliación,REC-09 Fondos,REC-09.1 Fondo de faltantes,I/S,REC - Recaudo y conciliación > REC-09 Fondos > REC-09.1 Fondo de faltantes,Casos del fondo de faltantes. (Validar en piloto si es incidente o solicitud.)
REC-09.2,REC,REC - Recaudo y conciliación,REC-09 Fondos,REC-09.2 Fondo de recambio,I/S,REC - Recaudo y conciliación > REC-09 Fondos > REC-09.2 Fondo de recambio,Casos del fondo de recambio. (Validar en piloto si es incidente o solicitud.)
REC-10,REC,REC - Recaudo y conciliación,REC-10 Consignaciones,,I,REC - Recaudo y conciliación > REC-10 Consignaciones,Error o diferencia en consignaciones.
REP-01,REP,REP - Reportes,REP-01 Reporte con datos inconsistentes,,I,REP - Reportes > REP-01 Reporte con datos inconsistentes,El reporte muestra cifras que no coinciden con la fuente o con otro reporte.
REP-02,REP,REP - Reportes,REP-02 Reporte sin información,,I,REP - Reportes > REP-02 Reporte sin información,El reporte se genera vacío o sin datos esperados.
REP-03,REP,REP - Reportes,REP-03 Error al generar reporte,,I,REP - Reportes > REP-03 Error al generar reporte,El reporte no se genera o arroja error. (Se asume que 'Error generación' se refiere a reportes; validar.)
CFG-01,CFG,"CFG - Configuración, instalación y liberación",CFG-01 Configuración de parámetros de aplicación,,S,"CFG - Configuración, instalación y liberación > CFG-01 Configuración de parámetros de aplicación",Ajuste de parámetros de software de cualquier aplicación (la aplicación va en el campo Aplicación).
CFG-02,CFG,"CFG - Configuración, instalación y liberación","CFG-02 Instalación, reinstalación o actualización de aplicativo",,S,"CFG - Configuración, instalación y liberación > CFG-02 Instalación, reinstalación o actualización de aplicativo","Instalar, reinstalar o actualizar un aplicativo por solicitud."
CFG-03,CFG,"CFG - Configuración, instalación y liberación",CFG-03 Liberación,,S,"CFG - Configuración, instalación y liberación > CFG-03 Liberación",Liberación (definición pendiente de confirmar: se asume liberación de versión a producción).
ACT-01,ACT,ACT - Actividades programadas,ACT-01 Monitoreo o validación programada,,S,ACT - Actividades programadas > ACT-01 Monitoreo o validación programada,Registro de monitoreo/validación rutinaria sin falla encontrada.
ACT-02,ACT,ACT - Actividades programadas,ACT-02 Mantenimiento preventivo,,S,ACT - Actividades programadas > ACT-02 Mantenimiento preventivo,Mantenimiento planificado (p. ej. de BD: reconstrucción de índices).
OTR-01,OTR,OTR - Otros,OTR-01 Otro (no clasificable),,I/S,OTR - Otros > OTR-01 Otro (no clasificable),Ningún otro código aplica. Se revisa cada semana para crear o ajustar categorías.
